Age,Male,Female,Total
Less than 16,2.1,1.7,1.9
Age group 16-19,18,8.3,13.3
Age group 20-24,25.6,9.3,17.7
Age group 25-29,22,7.3,14.8
Age group 30-34,18,5.8,11.9
Age group 35-39,16,5.6,10.8
Age group 40-44,14.8,5.3,10
Age group 45-49,15.8,5.3,10.5
Age group 50-54,18.1,6.2,12
Age group 55-59,17.1,5.6,11.2
Age group 60-64,16,5.7,10.6
Age group 65-69,14.1,6.2,9.9
Age group 70-74,15.6,7.3,11.1
Age group 75-79,18.9,10.1,14
Age group 80-84,21.9,10.4,15.1
Older than 85,25.6,11,16
